VEHICLE_ID,MODEL_YEAR,UK_MODEL,NHTSA_MODEL,VEHICLE_DESCRIPTION,OVERALL_RATING,FRONT_CRASH_RATING,SIDE_CRASH_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING
12492,2018," GLC Class",GLC-CLASS,2018 Mercedes-Benz GLC-Class SUV RWD,5,5,5,4,0.186,99,15,3,Standard,Optional,Optional
12497,2018," GLE Class",GLE-CLASS,2018 Mercedes-Benz GLE-Class SUV 4WD,,,,4,0.179,56,9,2,Standard,Optional,Optional
12496,2018," GLE Class",GLE-CLASS,2018 Mercedes-Benz GLE-Class SUV RWD,,,,4,0.198,56,9,2,Standard,Optional,Optional
12501,2018," GLS Class",GLS-CLASS,2018 Mercedes-Benz GLS-Class SUV 4WD,,,,,0,22,4,0,Standard,Optional,Optional
12485,2018," S Class",S-CLASS,2018 Mercedes-Benz S-Class C RWD,,,,,0,29,15,1,Standard,Optional,Optional
12484,2018," S Class",S-CLASS,2018 Mercedes-Benz S-Class C 4WD,,,,,0,29,15,1,Standard,Optional,Optional
12483,2018," S Class",S-CLASS,2018 Mercedes-Benz S-Class 4 DR RWD,,,,,0,29,15,1,Standard,Standard,Optional
12482,2018," S Class",S-CLASS,2018 Mercedes-Benz S-Class 4 DR 4WD,,,,,0,29,15,1,Standard,Standard,Optional
12486,2018," SL CLASS",SL-CLASS,2018 Mercedes-Benz SL-Class C RWD,,,,,0,2,2,1,Standard,Optional,Optional
5254,2009," C Class",C-CLASS,2009 Mercedes-Benz C-Class 4-DR. w/SAB,,,,4,0.105,670,8,3,Standard,No,No
5259,2009," E Class",E-CLASS,2009 Mercedes-Benz E-Class 4-DR. w/SAB,,,,5,0.101,85,4,0,Standard,Optional,No
5258,2009," E Class",E-CLASS,2009 Mercedes-Benz E-Class Wagon 4-DR. w/SAB,,,,5,0.101,85,4,0,Standard,Optional,No
5436,2009," S Class",S-CLASS,2009 Mercedes-Benz S-Class 4-DR w/SAB,,,,,0,13,1,0,Standard,Optional,No
11758,2017," C Class",C-CLASS,2017 Mercedes-Benz C-Class 2 DR 4WD,,,,,0,252,17,3,Standard,Optional,Optional
11659,2017," C Class",C-CLASS,2017 Mercedes-Benz C-Class C 4WD,,,,,0,252,17,3,Standard,Optional,Optional
11658,2017," C Class",C-CLASS,2017 Mercedes-Benz C-Class C RWD,,,,,0,252,17,3,Standard,Optional,Optional
11656,2017," C Class",C-CLASS,2017 Mercedes-Benz C-Class 2 DR RWD,,,,,0,252,17,3,Standard,Optional,Optional
11189,2017," C Class",C-CLASS,2017 Mercedes-Benz C-Class 4 DR RWD,5,4,5,4,0.11,252,17,3,Standard,Optional,Optional
11188,2017," C Class",C-CLASS,2017 Mercedes-Benz C-Class 4 DR 4WD,5,4,5,4,0.11,252,17,3,Standard,Optional,Optional
11662,2017," CL Class",CL-CLASS,2017 Mercedes-Benz CL-Class 2 DR RWD,,,,,0,0,0,0,Standard,Optional,Optional
11661,2017," CL Class",CL-CLASS,2017 Mercedes-Benz CL-Class 2 DR 4WD,,,,,0,0,0,0,Standard,Optional,Optional
